,losses,accuracies
0,2.323181390762329,10.050000190734863
1,9.718350410461426,11.130000114440918
2,10.68161678314209,10.360000610351562
3,11.135438919067383,10.440000534057617
4,11.984522819519043,10.369999885559082
5,10.772563934326172,16.479999542236328
6,10.957321166992188,13.719999313354492
7,10.148218154907227,16.14000129699707
8,7.677452564239502,12.359999656677246
9,5.8379950523376465,10.559999465942383
10,4.360099792480469,11.50999927520752
11,3.2303028106689453,13.199999809265137
12,3.0237643718719482,11.579999923706055
13,2.827395439147949,11.829999923706055
14,2.4317033290863037,20.15999984741211
15,2.172332286834717,14.110000610351562
16,2.3180019855499268,12.680000305175781
17,2.3742778301239014,12.860000610351562
18,2.3671958446502686,13.84000015258789
19,2.330571413040161,15.289999961853027
20,2.2825231552124023,16.93000030517578
21,2.240732192993164,17.560001373291016
22,2.220660448074341,15.420000076293945
23,2.2542967796325684,15.029999732971191
24,2.2377166748046875,15.15000057220459
25,2.2407419681549072,15.289999961853027
26,2.2337090969085693,15.649999618530273
27,2.2256674766540527,15.90999984741211
28,2.2235097885131836,15.930000305175781
29,2.2245187759399414,17.170000076293945
30,2.225128412246704,17.43000030517578
31,2.22229266166687,17.630001068115234
32,2.213609457015991,18.1299991607666
33,2.1989023685455322,17.40999984741211
34,2.184154987335205,17.959999084472656
35,2.18212628364563,17.380001068115234
36,2.1827993392944336,17.470001220703125
37,2.1573009490966797,16.639999389648438
38,2.228825330734253,17.560001373291016
39,2.1419637203216553,17.470001220703125
40,2.1727824211120605,17.489999771118164
41,2.179659605026245,17.649999618530273
42,2.1806640625,17.610000610351562
43,2.1825969219207764,17.399999618530273
44,2.183079957962036,17.55000114440918
45,2.1785266399383545,17.630001068115234
46,2.167374610900879,17.540000915527344
47,2.147341728210449,17.239999771118164
48,2.1187000274658203,16.84000015258789
49,2.122410774230957,16.529998779296875
50,2.1354899406433105,17.690000534057617
51,2.106231927871704,17.959999084472656
52,2.116938352584839,18.059999465942383
53,2.104407787322998,19.0
54,2.084998846054077,19.93000030517578
55,2.094703197479248,20.440000534057617
56,2.094224214553833,20.540000915527344
57,2.080134868621826,20.100000381469727
58,2.081490993499756,20.100000381469727
59,2.0736498832702637,19.530000686645508
60,2.0510849952697754,18.850000381469727
61,2.04890513420105,18.149999618530273
62,2.0768043994903564,19.78999900817871
63,2.0387120246887207,19.8799991607666
64,2.0525200366973877,19.709999084472656
65,2.0506584644317627,19.989999771118164
66,2.056326389312744,20.64000129699707
67,2.0542352199554443,20.860000610351562
68,2.0544257164001465,20.610000610351562
69,2.0561623573303223,20.43000030517578
70,2.0517590045928955,20.43000030517578
71,2.0519490242004395,20.3799991607666
72,2.0484650135040283,20.190000534057617
73,2.0464565753936768,20.209999084472656
74,2.0446267127990723,20.5
75,2.0394275188446045,21.31999969482422
76,2.03588604927063,21.90999984741211
77,2.0269267559051514,22.239999771118164
78,2.019639730453491,23.100000381469727
79,2.010110855102539,23.450000762939453
80,2.0148589611053467,23.280000686645508
81,2.0168235301971436,23.579999923706055
82,2.0026795864105225,23.34000015258789
83,2.0005991458892822,22.639999389648438
84,2.0045974254608154,22.8799991607666
85,2.0019631385803223,23.270000457763672
86,1.996493935585022,24.84000015258789
87,1.9867184162139893,26.89000129699707
88,1.9890635013580322,27.759998321533203
89,1.9823222160339355,27.369998931884766
90,1.9767524003982544,26.76999855041504
91,1.9781181812286377,26.579999923706055
92,1.9765902757644653,27.270000457763672
93,1.969348430633545,27.309999465942383
94,1.9684005975723267,27.610000610351562
95,1.964907169342041,27.329999923706055
96,1.9613357782363892,27.05000114440918
97,1.9613630771636963,27.540000915527344
98,1.9591556787490845,28.310001373291016
99,1.954705834388733,28.709999084472656
100,1.9537279605865479,28.8700008392334
101,1.950937271118164,29.100000381469727
102,1.9482595920562744,28.8700008392334
103,1.9474884271621704,28.790000915527344
104,1.943699836730957,28.740001678466797
105,1.9426664113998413,28.56999969482422
106,1.940614104270935,28.200000762939453
